,ave_q,ave_x,ave_t,ave_p,counts
314,1.25,0.125,0.25,261.0,0
315,1.25,0.125,0.25,279.0,0
316,1.25,0.125,0.25,297.0,0
317,1.25,0.125,0.25,315.0,0
318,1.25,0.125,0.25,333.0,0
319,1.25,0.125,0.25,351.0,0
320,1.25,0.125,0.35,9.0,0
321,1.25,0.125,0.35,27.0,0
322,1.25,0.125,0.35,45.0,0
323,1.25,0.125,0.35,63.0,0
324,1.25,0.125,0.35,81.0,0
325,1.25,0.125,0.35,99.0,0
326,1.25,0.125,0.35,117.0,0
327,1.25,0.125,0.35,135.0,0
328,1.25,0.125,0.35,153.0,0
329,1.25,0.125,0.35,171.0,0
330,1.25,0.125,0.35,189.0,0
331,1.25,0.125,0.35,207.0,0
332,1.25,0.125,0.35,225.0,0
333,1.25,0.125,0.35,243.0,0
334,1.25,0.125,0.35,261.0,0
335,1.25,0.125,0.35,279.0,0
336,1.25,0.125,0.35,297.0,0
337,1.25,0.125,0.35,315.0,0
338,1.25,0.125,0.35,333.0,0
339,1.25,0.125,0.35,351.0,0
340,1.25,0.125,0.5,9.0,0
341,1.25,0.125,0.5,27.0,0
342,1.25,0.125,0.5,45.0,0
343,1.25,0.125,0.5,63.0,0
344,1.25,0.125,0.5,81.0,0
345,1.25,0.125,0.5,99.0,0
346,1.25,0.125,0.5,117.0,0
347,1.25,0.125,0.5,135.0,0
348,1.25,0.125,0.5,153.0,0
349,1.25,0.125,0.5,171.0,0
350,1.25,0.125,0.5,189.0,0
351,1.25,0.125,0.5,207.0,0
352,1.25,0.125,0.5,225.0,0
353,1.25,0.125,0.5,243.0,0
354,1.25,0.125,0.5,261.0,0
355,1.25,0.125,0.5,279.0,0
356,1.25,0.125,0.5,297.0,0
357,1.25,0.125,0.5,315.0,0
358,1.25,0.125,0.5,333.0,0
359,1.25,0.125,0.5,351.0,0
360,1.25,0.125,0.8,9.0,0
361,1.25,0.125,0.8,27.0,0
362,1.25,0.125,0.8,45.0,0
363,1.25,0.125,0.8,63.0,0
364,1.25,0.125,0.8,81.0,0
365,1.25,0.125,0.8,99.0,0
366,1.25,0.125,0.8,117.0,0
367,1.25,0.125,0.8,135.0,0
368,1.25,0.125,0.8,153.0,1
369,1.25,0.125,0.8,171.0,0
370,1.25,0.125,0.8,189.0,0
371,1.25,0.125,0.8,207.0,0
372,1.25,0.125,0.8,225.0,0
373,1.25,0.125,0.8,243.0,0
374,1.25,0.125,0.8,261.0,0
375,1.25,0.125,0.8,279.0,0
376,1.25,0.125,0.8,297.0,0
377,1.25,0.125,0.8,315.0,0
378,1.25,0.125,0.8,333.0,0
379,1.25,0.125,0.8,351.0,0
380,1.25,0.125,1.25,9.0,0
381,1.25,0.125,1.25,27.0,0
382,1.25,0.125,1.25,45.0,0
383,1.25,0.125,1.25,63.0,0
384,1.25,0.125,1.25,81.0,0
385,1.25,0.125,1.25,99.0,0
386,1.25,0.125,1.25,117.0,0
387,1.25,0.125,1.25,135.0,1
388,1.25,0.125,1.25,153.0,1
389,1.25,0.125,1.25,171.0,0
390,1.25,0.125,1.25,189.0,0
391,1.25,0.125,1.25,207.0,0
392,1.25,0.125,1.25,225.0,0
393,1.25,0.125,1.25,243.0,1
394,1.25,0.125,1.25,261.0,0
395,1.25,0.125,1.25,279.0,0
396,1.25,0.125,1.25,297.0,0
397,1.25,0.125,1.25,315.0,0
398,1.25,0.125,1.25,333.0,0
399,1.25,0.125,1.25,351.0,0
400,1.25,0.125,1.75,9.0,0
